ts_utc,route_id,route_name,mode,n_vehicles,n_trips,median_delay_s,p90_delay_s,pct_on_time,pct_late,pct_early,n_alerts
2026-08-20T05:03:57Z,504,504 King,streetcar,23,0,,,,,,0
2026-08-20T05:03:57Z,505,505 Dundas,streetcar,10,0,,,,,,0
2026-08-20T05:03:57Z,506,506 Carlton,streetcar,29,0,,,,,,2
2026-08-20T05:03:57Z,507,507 Long Branch,streetcar,5,0,,,,,,0
2026-08-20T05:03:57Z,509,509 Harbourfront,streetcar,5,0,,,,,,0
2026-08-20T05:03:57Z,510,510 Spadina,streetcar,7,0,,,,,,1
2026-08-20T05:03:57Z,511,511 Bathurst,streetcar,6,0,,,,,,0
2026-08-20T05:03:57Z,512,512 St Clair,streetcar,8,0,,,,,,1
2026-08-20T05:03:57Z,900,900 Airport Express,bus,4,0,,,,,,0
2026-08-20T05:03:57Z,903,903 Kennedy Stn-Scarborough Express,bus,0,0,,,,,,1
2026-08-20T05:03:57Z,904,904 Sheppard-Kennedy Express,bus,3,0,,,,,,1
2026-08-20T05:03:57Z,925,925 Don Mills Express,bus,0,0,,,,,,1
2026-08-20T05:03:57Z,927,927 Highway 27 Express,bus,4,0,,,,,,0
2026-08-20T05:03:57Z,939,939 Finch Express,bus,7,0,,,,,,1
2026-08-20T05:03:57Z,952,952 Lawrence West Express,bus,0,0,,,,,,1
2026-08-20T05:03:57Z,954,954 Lawrence East Express,bus,0,0,,,,,,1
2026-08-20T05:03:57Z,984,984 Sheppard West Express,bus,0,0,,,,,,2
2026-08-20T05:03:57Z,996,996 Wilson Express,bus,0,0,,,,,,1
